u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
241804230,241804227,0,175764122,False,,tertiary,True,70.64168053013506,,"LINESTRING (135.4987586 34.7112914, 135.4995259 34.7113673)",,
241804230,1852758222,0,1020571195,False,,unclassified,True,48.27398271734268,,"LINESTRING (135.4987586 34.7112914, 135.4988585 34.7108651)",,
241804231,1864380006,0,174643620,True,,unclassified,False,34.21857633157071,,"LINESTRING (135.4980448 34.7112226, 135.4980783 34.7115291)",,
241804231,241804230,0,175764122,False,,tertiary,True,65.69253149798706,,"LINESTRING (135.4980448 34.7112226, 135.4987586 34.7112914)",,
241804231,564425284,0,175764122,False,,tertiary,False,94.7145192666097,,"LINESTRING (135.4980448 34.7112226, 135.4971233 34.7111266, 135.4970178 34.7111428)",,
258765067,1843846824,0,133148112,True,曽根崎通,trunk,False,74.50646500515872,3,"LINESTRING (135.5005847 34.6981496, 135.4997698 34.6981594)",,
258765067,1833824132,0,172476874,True,御堂筋,trunk,False,23.25580705846244,2,"LINESTRING (135.5005847 34.6981496, 135.5004203 34.6983092)",,
258765067,258765069,0,23874437,True,御堂筋,trunk,False,78.65846807255703,7,"LINESTRING (135.5005847 34.6981496, 135.5006758 34.6979115, 135.5008478 34.6974761)",,
258765069,258765070,0,23874437,True,御堂筋,trunk,False,35.96268714454902,7,"LINESTRING (135.5008478 34.6974761, 135.5009659 34.6971676)",,
258765069,2309415429,0,"[1021110145, 1021110147, 178996375]",False,永楽町北通,tertiary,False,57.85957294266899,,"LINESTRING (135.5008478 34.6974761, 135.5010313 34.6975208, 135.5011758 34.6975082, 135.5013206 34.6974976, 135.5014703 34.6974825)",,
258765070,258765071,0,23874437,True,御堂筋,trunk,False,56.16451394189403,7,"LINESTRING (135.5009659 34.6971676, 135.5010719 34.6969021, 135.5010894 34.6968583, 135.5011564 34.6966874)",,
258765070,1843846813,0,173599751,True,永楽町通,unclassified,False,108.03599332192503,,"LINESTRING (135.5009659 34.6971676, 135.5007162 34.6972117, 135.4998288 34.6974302)",,
258765071,258765072,0,658187861,True,御堂筋,trunk,False,61.47965072874436,6,"LINESTRING (135.5011564 34.6966874, 135.5012727 34.696373, 135.501307 34.6961505)",,
258765071,681290456,0,1011000491,True,,trunk_link,False,21.892685626556293,1,"LINESTRING (135.5011564 34.6966874, 135.5013109 34.6967168, 135.5013822 34.6967482)",,
258765072,258765074,0,162383070,True,御堂筋,trunk,False,50.88020999003133,8,"LINESTRING (135.501307 34.6961505, 135.5012746 34.6956937)",,
258765072,1313281684,0,173469045,True,堂島上通,unclassified,False,132.1377196760567,,"LINESTRING (135.501307 34.6961505, 135.5014833 34.6960744, 135.5015402 34.6960349, 135.5017497 34.6958823, 135.5019428 34.6957122, 135.5019133 34.6955218, 135.5018255 34.6952217)",,
258765074,1842726700,0,162383070,True,御堂筋,trunk,False,50.71086796972901,8,"LINESTRING (135.5012746 34.6956937, 135.5012576 34.6954814, 135.5012519 34.6953745, 135.5012493 34.6953248, 135.501223 34.695241)",,
258765074,1843825141,0,173465792,True,堂島船大工通,unclassified,False,100.77368796163883,,"LINESTRING (135.5012746 34.6956937, 135.5010366 34.6957386, 135.5001946 34.6958746)",,
258765078,1863935223,0,183433890,False,中之島通,tertiary,False,226.26018860379648,,"LINESTRING (135.5011135 34.6942704, 135.5013287 34.6942773, 135.5013945 34.6942738, 135.5018502 34.6942499, 135.5029127 34.6941479, 135.5035665 34.6940386)",,
