u_merged_station_id,v_merged_station_id,edge_count,distance_m_mean,line_refs,line_names,sources
merge::name::ポートタウン東,merge::name::ポートタウン西,1,579.31,,Osaka Metro New Tram,way_order
merge::name::ポートタウン東,merge::wikidata::Q180504,1,9.071,P,line_P,inferred_no_ref
merge::name::ポートタウン西,merge::wikidata::Q180504,1,579.674,P,line_P,inferred_no_ref
merge::name::住之江公園,merge::wikidata::Q126046,1,78.498,P,line_P,inferred_no_ref
merge::name::南港口,merge::name::南港東,1,668.821,,Osaka Metro New Tram,way_order
merge::name::南港口,merge::name::平林,1,1213.179,,Osaka Metro New Tram,way_order
merge::name::南港口,merge::wikidata::Q126046,1,2509.935,P,line_P,inferred_no_ref
merge::name::南港口,merge::wikidata::Q180504,1,2445.25,P,line_P,inferred_no_ref
merge::name::南港東,merge::wikidata::Q180504,1,2090.276,P,line_P,inferred_no_ref
merge::name::平林,merge::wikidata::Q126046,1,1303.262,P,line_P,inferred_no_ref
merge::wikidata::Q1038083,merge::wikidata::Q1039923,1,2539.731,K,line_K,inferred_no_ref
merge::wikidata::Q1038083,merge::wikidata::Q1040630,1,929.733,K,line_K,inferred_no_ref
merge::wikidata::Q1038083,merge::wikidata::Q1042837,1,1789.756,K,line_K,inferred_no_ref
merge::wikidata::Q1038083,merge::wikidata::Q1074425,1,797.702,K,line_K,ref_sequence
merge::wikidata::Q1038083,merge::wikidata::Q1074440,1,657.19,N,line_N,ref_sequence
merge::wikidata::Q1038083,merge::wikidata::Q126080,1,535.687,7,Osaka Metro長堀鶴見緑地線,way_order
merge::wikidata::Q1038083,merge::wikidata::Q843811,1,3294.202,K,line_K,inferred_no_ref
merge::wikidata::Q1038365,merge::wikidata::Q2066656,1,778.57,K,line_K,inferred_no_ref
merge::wikidata::Q1038365,merge::wikidata::Q2084603,1,1381.346,K,line_K,inferred_no_ref
merge::wikidata::Q1039923,merge::wikidata::Q1042837,1,823.808,6,Sakaisuji Line,way_order
merge::wikidata::Q1039923,merge::wikidata::Q1043084,1,1041.764,T,line_T,ref_sequence
merge::wikidata::Q1039923,merge::wikidata::Q1074425,1,1752.428,K,line_K,inferred_no_ref
merge::wikidata::Q1039923,merge::wikidata::Q83600,1,1083.299,T,line_T,ref_sequence
merge::wikidata::Q1039923,merge::wikidata::Q843811,1,766.144,6,Sakaisuji Line,way_order
merge::wikidata::Q1040630,merge::wikidata::Q2066656,1,1237.05,6,Sakaisuji Line,way_order
merge::wikidata::Q1041967,merge::wikidata::Q1041977,1,956.645,T,line_T,ref_sequence
merge::wikidata::Q1041967,merge::wikidata::Q1131039,1,1181.887,7,Osaka Metro長堀鶴見緑地線,way_order
merge::wikidata::Q1041967,merge::wikidata::Q1131709,1,705.123,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q1041967,merge::wikidata::Q126080,1,492.059,N,line_N,ref_sequence
merge::wikidata::Q1041977,merge::wikidata::Q83603,1,930.818,T,line_T,ref_sequence
merge::wikidata::Q1042492,merge::wikidata::Q123033953,1,1582.477,N,line_N,ref_sequence
merge::wikidata::Q1042492,merge::wikidata::Q135348,1,1151.157,N,line_N,ref_sequence
merge::wikidata::Q1042508,merge::wikidata::Q180497,1,2534.206,I,line_I,inferred_no_ref
merge::wikidata::Q1042508,merge::wikidata::Q83605,1,966.567,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q1042508,merge::wikidata::Q83608,1,1142.917,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q1042837,merge::wikidata::Q1074425,1,992.541,6,Sakaisuji Line,way_order
merge::wikidata::Q1043084,merge::wikidata::Q1131709,1,869.215,T,line_T,ref_sequence
merge::wikidata::Q1074425,merge::wikidata::Q1131709,1,978.715,4,Osaka Metro Chūō Line,way_order
merge::wikidata::Q1074425,merge::wikidata::Q1134631,1,727.787,4,Osaka Metro Chūō Line,way_order
merge::wikidata::Q1074425,merge::wikidata::Q1143934,1,3140.585,K,line_K,inferred_no_ref
merge::wikidata::Q1074425,merge::wikidata::Q843811,1,2500.566,K,line_K,inferred_no_ref
merge::wikidata::Q1074440,merge::wikidata::Q112719,1,432.631,N,line_N,ref_sequence
merge::wikidata::Q112719,merge::wikidata::Q304193,1,692.168,N,line_N,ref_sequence
merge::wikidata::Q1131017,merge::wikidata::Q1132633,1,1296.643,C,line_C,ref_sequence
merge::wikidata::Q1131039,merge::wikidata::Q1131146,1,828.699,N,line_N,ref_sequence
merge::wikidata::Q1131146,merge::wikidata::Q1131699,1,1143.59,C,line_C,ref_sequence
merge::wikidata::Q1131146,merge::wikidata::Q1131709,1,1400.62,4,Osaka Metro Chūō Line,way_order
merge::wikidata::Q1131146,merge::wikidata::Q135205,1,1212.886,N,line_N,ref_sequence
merge::wikidata::Q1131158,merge::wikidata::Q666822,1,665.065,N,line_N,ref_sequence
merge::wikidata::Q1131699,merge::wikidata::Q126032,1,1142.828,4,Osaka Metro Chūō Line,way_order
merge::wikidata::Q1131699,merge::wikidata::Q949884,1,1225.782,I,line_I,ref_sequence
merge::wikidata::Q1131721,merge::wikidata::Q1134631,1,1005.328,1,Osaka Municipal Subway Midōsuji Line,way_order
merge::wikidata::Q1131721,merge::wikidata::Q20023053,1,1345.133,M,line_M,ref_sequence
merge::wikidata::Q1131721,merge::wikidata::Q83600,1,1001.286,M,line_M,inferred_no_ref
merge::wikidata::Q1132328,merge::wikidata::Q135196,1,784.863,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q1132328,merge::wikidata::Q83603,1,1045.7,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q1132633,merge::wikidata::Q1134468,1,1491.723,C,line_C,ref_sequence
merge::wikidata::Q1134468,merge::wikidata::Q1134631,1,988.286,4,Osaka Metro Chūō Line,way_order
merge::wikidata::Q1134631,merge::wikidata::Q126343,1,994.647,3,Yotsubashi Line,way_order
merge::wikidata::Q1134631,merge::wikidata::Q291023,1,989.077,Y,line_Y,ref_sequence
merge::wikidata::Q1136734,merge::wikidata::Q180469,1,434.296,P,line_P,ref_sequence
merge::wikidata::Q1136738,merge::wikidata::Q2520333,1,1741.793,M,line_M,ref_sequence
merge::wikidata::Q1143934,merge::wikidata::Q83601,1,618.551,T,line_T,ref_sequence
merge::wikidata::Q1143934,merge::wikidata::Q83604,1,1336.707,T,line_T,ref_sequence
merge::wikidata::Q123033953,merge::wikidata::Q135205,1,580.483,7,Osaka Metro長堀鶴見緑地線,way_order
merge::wikidata::Q125822,merge::wikidata::Q126082,1,1223.947,3,Yotsubashi Line,way_order
merge::wikidata::Q125822,merge::wikidata::Q126335,1,1043.006,3,Yotsubashi Line,way_order
merge::wikidata::Q126023,merge::wikidata::Q126343,1,890.226,Y,line_Y,ref_sequence
merge::wikidata::Q126027,merge::wikidata::Q126032,1,1325.778,4,Osaka Metro Chūō Line,way_order
merge::wikidata::Q126027,merge::wikidata::Q126064,1,1750.339,4,Osaka Metro Chūō Line,way_order
merge::wikidata::Q126046,merge::wikidata::Q126335,1,1508.403,Y,line_Y,ref_sequence
merge::wikidata::Q126064,merge::wikidata::Q4784030,1,1265.514,C,line_C,ref_sequence
merge::wikidata::Q126082,merge::wikidata::Q126102,1,1125.664,Y,line_Y,ref_sequence
merge::wikidata::Q135181,merge::wikidata::Q135186,1,1048.681,7,Osaka Metro長堀鶴見緑地線,way_order
merge::wikidata::Q135181,merge::wikidata::Q135207,1,1324.605,N,line_N,ref_sequence
merge::wikidata::Q135184,merge::wikidata::Q135198,1,1470.832,T,line_T,ref_sequence
merge::wikidata::Q135184,merge::wikidata::Q151539,1,1367.09,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q135186,merge::wikidata::Q135348,1,1249.613,N,line_N,ref_sequence
merge::wikidata::Q135196,merge::wikidata::Q29457,1,892.483,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q135198,merge::wikidata::Q135203,1,1049.073,T,line_T,ref_sequence
merge::wikidata::Q135203,merge::wikidata::Q29457,1,1041.228,T,line_T,ref_sequence
merge::wikidata::Q151413,merge::wikidata::Q151508,1,1029.758,T,line_T,ref_sequence
merge::wikidata::Q151413,merge::wikidata::Q151539,1,1269.442,T,line_T,ref_sequence
merge::wikidata::Q151508,merge::wikidata::Q151767,1,1019.622,T,line_T,ref_sequence
merge::wikidata::Q20023053,merge::wikidata::Q2520333,1,850.882,M,line_M,ref_sequence
merge::wikidata::Q20023053,merge::wikidata::Q83600,1,373.951,M,line_M,inferred_no_ref
merge::wikidata::Q20080133,merge::wikidata::Q291023,1,889.063,3,Yotsubashi Line,way_order
merge::wikidata::Q2056658,merge::wikidata::Q59341,1,1877.728,M,line_M,ref_sequence
merge::wikidata::Q304193,merge::wikidata::Q666822,1,826.944,7,Osaka Metro長堀鶴見緑地線,way_order
merge::wikidata::Q4784030,merge::wikidata::Q8055962,1,1666.115,C,line_C,ref_sequence
merge::wikidata::Q5517679,merge::wikidata::Q8055973,1,2652.348,C,line_C,ref_sequence
merge::wikidata::Q59341,merge::wikidata::Q59455,1,1974.995,M,line_M,inferred_no_ref
merge::wikidata::Q5996117,merge::wikidata::Q7497096,1,5428.129,C,line_C,ref_sequence
merge::wikidata::Q5996117,merge::wikidata::Q7498268,1,3523.163,C,line_C,ref_sequence
merge::wikidata::Q681742,merge::wikidata::Q83608,1,1826.665,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q7497096,merge::wikidata::Q8055962,1,1634.454,C,line_C,ref_sequence
merge::wikidata::Q7498268,merge::wikidata::Q8055973,1,725.337,C,line_C,ref_sequence
merge::wikidata::Q83600,merge::wikidata::Q83601,1,908.846,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q83604,merge::wikidata::Q83607,1,1163.628,T,line_T,ref_sequence
merge::wikidata::Q83605,merge::wikidata::Q83606,1,1036.86,2,Osaka Metro Tanimachi Line,way_order
merge::wikidata::Q83606,merge::wikidata::Q83607,1,935.286,T,line_T,ref_sequence
