station_key,name,station_uid_count,osm_id_count,station_uids,osm_ids,refs,names_local,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,merged_station_id
name::tanimachi 9-chome,Tanimachi 9-chome,2,2,node::538714986 | node::12731312840,node/538714986 | node/12731312840,S18,谷町九丁目,,,stop,stop_position,34.66655985,135.51699539999998,merge::name::tanimachi 9-chome
name::tennoji,Tennoji,2,2,node::534132586 | node::7811929027,node/534132586 | node/7811929027,M23,天王寺,Osaka Metro,Osaka Metro御堂筋線,stop,stop_position,34.6460552,135.51525909999998,merge::name::tennoji
name::tsuruhashi,Tsuruhashi,2,2,node::538715743 | node::12731312851,node/538715743 | node/12731312851,S19,鶴橋,,,stop,stop_position,34.66597695,135.52905885,merge::name::tsuruhashi
name::yumeshima,Yumeshima,2,2,node::12517912680 | node::12517912681,node/12517912680 | node/12517912681,C09,夢洲,Osaka Metro,Osaka Metro,stop,stop_position,34.6529585,135.390533,merge::name::yumeshima
name::ōsakakō,Ōsakakō,2,2,node::5470490421 | node::5647131994,node/5470490421 | node/5647131994,C11,大阪港,,,stop,stop_position,34.6539249,135.43441869999998,merge::name::ōsakakō
name::フェリーターミナル,フェリーターミナル,2,2,node::8729045329 | node::8729045331,node/8729045329 | node/8729045331,,フェリーターミナル,,,stop,stop_position,34.61925065,135.43495815,merge::name::フェリーターミナル
name::ポートタウン西,ポートタウン西,2,2,node::8729045270 | node::8729045271,node/8729045270 | node/8729045271,,ポートタウン西,,,stop,stop_position,34.6309039,135.42281305,merge::name::ポートタウン西
name::南港口,南港口,2,2,node::8729045379 | node::8729045380,node/8729045379 | node/8729045380,,南港口,,,stop,stop_position,34.613820399999994,135.44593965,merge::name::南港口
name::南港東,南港東,2,2,node::8729045356 | node::8729045364,node/8729045356 | node/8729045364,,南港東,,,stop,stop_position,34.61382565,135.4386312,merge::name::南港東
name::平林,平林,2,2,node::8729045402 | node::8729045410,node/8729045402 | node/8729045410,,平林,,,stop,stop_position,34.61066395,135.45862935000002,merge::name::平林
