merged_station_id,station_key,name,names_local,refs,station_uid_count,osm_id_count,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,station_uids,osm_ids
merge::name::nodahanshin,name::nodahanshin,Nodahanshin,野田阪神,S11,2,2,,,stop,stop_position,34.69437025,135.47487115,node::538715683 | node::12731300570,node/538715683 | node/12731300570
merge::name::sakuragawa,name::sakuragawa,Sakuragawa,桜川,S15,2,2,,,stop,stop_position,34.66830605,135.4902647,node::538714962 | node::12731312819,node/538714962 | node/12731312819
merge::name::sekime-seiiku,name::sekime-seiiku,Sekime-Seiiku,関目成育,,2,2,Osaka Metro,,stop,stop_position,34.71309435,135.5464483,node::538724186 | node::12508282308,node/538724186 | node/12508282308
merge::name::shigino,name::shigino,Shigino,鴫野,,2,2,Osaka Metro,,stop,stop_position,34.693026,135.54616785000002,node::538724140 | node::12508256192,node/538724140 | node/12508256192
merge::name::shimizu,name::shimizu,Shimizu,清水,,2,2,Osaka Metro,,stop,stop_position,34.72226885,135.56080585,node::538724214 | node::12508282332,node/538724214 | node/12508282332
merge::name::shimmori-furuichi,name::shimmori-furuichi,Shimmori-Furuichi,新森古市,,2,2,Osaka Metro,,stop,stop_position,34.715260799999996,135.5583015,node::538724212 | node::12508256179,node/538724212 | node/12508256179
merge::name::shin-fukae,name::shin-fukae,Shin-Fukae,新深江,S21,2,2,,,stop,stop_position,34.66818455,135.55429735,node::538715786 | node::12731312877,node/538715786 | node/12731312877
merge::name::shin-kanaoka,name::shin-kanaoka,Shin-Kanaoka,新金岡,M29,2,2,Osaka Metro,,stop,stop_position,34.568485749999994,135.51536565,node::534130655 | node::7811945009,node/534130655 | node/7811945009
merge::name::shin-osaka,name::shin-osaka,Shin-Osaka,新大阪,M13,2,2,大阪市交通局,大阪市営地下鉄,stop,stop_position,34.7328955,135.49854355,node::4800705875 | node::4800705876,node/4800705875 | node/4800705876
merge::name::shinsaibashi,name::shinsaibashi,Shinsaibashi,心斎橋,M19,2,2,Osaka Metro,,stop,stop_position,34.6745173,135.5003566,node::534133907 | node::7811945072,node/534133907 | node/7811945072
merge::name::shoji,name::shoji,Shoji,小路,S22,2,2,,,stop,stop_position,34.661431199999996,135.55628145,node::538715769 | node::12731312892,node/538715769 | node/12731312892
merge::name::showacho,name::showacho,Showacho,昭和町,M24,2,2,Osaka Metro,,stop,stop_position,34.63312615,135.51692515000002,node::534132242 | node::7811929049,node/534132242 | node/7811929049
merge::name::tamagawa,name::tamagawa,Tamagawa,玉川,S12,2,2,,,stop,stop_position,34.689550350000005,135.47619880000002,node::538715541 | node::12731300577,node/538715541 | node/12731300577
merge::name::tanimachi 9-chome,name::tanimachi 9-chome,Tanimachi 9-chome,谷町九丁目,S18,2,2,,,stop,stop_position,34.66655985,135.51699539999998,node::538714986 | node::12731312840,node/538714986 | node/12731312840
merge::name::tennoji,name::tennoji,Tennoji,天王寺,M23,2,2,Osaka Metro,Osaka Metro御堂筋線,stop,stop_position,34.6460552,135.51525909999998,node::534132586 | node::7811929027,node/534132586 | node/7811929027
merge::name::tsuruhashi,name::tsuruhashi,Tsuruhashi,鶴橋,S19,2,2,,,stop,stop_position,34.66597695,135.52905885,node::538715743 | node::12731312851,node/538715743 | node/12731312851
merge::name::yumeshima,name::yumeshima,Yumeshima,夢洲,C09,2,2,Osaka Metro,Osaka Metro,stop,stop_position,34.6529585,135.390533,node::12517912680 | node::12517912681,node/12517912680 | node/12517912681
merge::name::ōsakakō,name::ōsakakō,Ōsakakō,大阪港,C11,2,2,,,stop,stop_position,34.6539249,135.43441869999998,node::5470490421 | node::5647131994,node/5470490421 | node/5647131994
